story_id,title,status,image_path
"butter","The Butter Thief","final-existing-artwork","/images/stories/butter-thief.png"
"kaliya","Dancing on Kaliya","final-existing-artwork","/images/stories/kaliya.png"
"govardhan","Lifting Govardhan","final-existing-artwork","/images/stories/govardhan.png"
"flute","The Song of the Flute","final-existing-artwork","/images/stories/flute.png"
"sudama","Krishna & Sudama","final-existing-artwork","/images/stories/sudama.png"
"universe","The Universe Within","final-existing-artwork","/images/stories/universe.png"
"damodara","Yashoda's Rope","temporary-needs-final-artwork","/images/stories/placeholders/damodara.svg"
"fruit-seller","The Fruit Seller's Gift","temporary-needs-final-artwork","/images/stories/placeholders/fruit-seller.svg"
"brahma","Brahma Learns a Lesson","temporary-needs-final-artwork","/images/stories/placeholders/brahma.svg"
"forest-fire","The Forest Fire","temporary-needs-final-artwork","/images/stories/placeholders/forest-fire.svg"
"little-leela-011","Gopala and the hidden sweet","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-011.svg"
"little-leela-012","Govinda and the muddy path","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-012.svg"
"little-leela-013","Keshava and the evening lamp","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-013.svg"
"little-leela-014","Hari and the shy song","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-014.svg"
"little-leela-015","Shyam and the forgotten promise","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-015.svg"
"little-leela-016","Murari and the dusty flute","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-016.svg"
"little-leela-017","Nanda-lala and the hungry guest","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-017.svg"
"little-leela-018","Damodara and the quiet prayer","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-018.svg"
"little-leela-019","Mohan and the lonely friend","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-019.svg"
"little-leela-020","Madhava and the lost calf","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-020.svg"
"little-leela-021","Gopala and the shared meal","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-021.svg"
"little-leela-022","Govinda and the small quarrel","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-022.svg"
"little-leela-023","Keshava and the child in tears","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-023.svg"
"little-leela-024","Hari and the broken toy","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-024.svg"
"little-leela-025","Shyam and the tangled garland","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-025.svg"
"little-leela-026","Murari and the bright morning","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-026.svg"
"little-leela-027","Nanda-lala and the cracked water pot","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-027.svg"
"little-leela-028","Damodara and the sudden storm","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-028.svg"
"little-leela-029","Mohan and the basket of flowers","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-029.svg"
"little-leela-030","Madhava and the tired elder","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-030.svg"
"little-leela-031","Gopala and the hidden sweet","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-031.svg"
"little-leela-032","Govinda and the muddy path","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-032.svg"
"little-leela-033","Keshava and the evening lamp","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-033.svg"
"little-leela-034","Hari and the shy song","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-034.svg"
"little-leela-035","Shyam and the forgotten promise","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-035.svg"
"little-leela-036","Murari and the dusty flute","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-036.svg"
"little-leela-037","Nanda-lala and the hungry guest","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-037.svg"
"little-leela-038","Damodara and the quiet prayer","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-038.svg"
"little-leela-039","Mohan and the lonely friend","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-039.svg"
"little-leela-040","Madhava and the lost calf","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-040.svg"
"little-leela-041","Gopala and the shared meal","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-041.svg"
"little-leela-042","Govinda and the small quarrel","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-042.svg"
"little-leela-043","Keshava and the child in tears","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-043.svg"
"little-leela-044","Hari and the broken toy","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-044.svg"
"little-leela-045","Shyam and the tangled garland","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-045.svg"
"little-leela-046","Murari and the bright morning","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-046.svg"
"little-leela-047","Nanda-lala and the cracked water pot","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-047.svg"
"little-leela-048","Damodara and the sudden storm","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-048.svg"
"little-leela-049","Mohan and the basket of flowers","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-049.svg"
"little-leela-050","Madhava and the tired elder","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-050.svg"
"little-leela-051","Gopala and the hidden sweet","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-051.svg"
"little-leela-052","Govinda and the muddy path","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-052.svg"
"little-leela-053","Keshava and the evening lamp","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-053.svg"
"little-leela-054","Hari and the shy song","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-054.svg"
"little-leela-055","Shyam and the forgotten promise","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-055.svg"
"little-leela-056","Murari and the dusty flute","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-056.svg"
"little-leela-057","Nanda-lala and the hungry guest","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-057.svg"
"little-leela-058","Damodara and the quiet prayer","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-058.svg"
"little-leela-059","Mohan and the lonely friend","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-059.svg"
"little-leela-060","Madhava and the lost calf","temporary-needs-final-artwork","/images/stories/placeholders/little-leela-060.svg"
